mots	semgram	lemfreq	surfreq	répartition
relativement		6		
relier		6		
renier		6		
république		6		
résistance		6		
résumé		6		
revendeur		6		
rivière		6		
roulant		6		
roulant	roulant	6	5	
roulant	roulante	6	1	
roulement		6		
sacré		6		
saint		6		
saint	saint	6	2	
saint	sainte	6	4	
séchoir		6		
sensible		6		
signifier		6		
ski		6		
sol		6		
souper		6		
splendide		6		
subventionner		6		
sucre		6		
tantôt		6		
tarif		6		
théorie		6		
timbre		6		
tournée		6		
trafic		6		
tribu		6		
troubler		6		
troubler	(troubler	6	5	
troubler	(se troubler	6	1	
t.s.f		6		
utilisation		6		
vase	(masc.)	6		
vaste		6		
veste		6		
vidanger		6		
vieil		6		
vieillir		6		
vitre		6		
volant	(mécanique)	6		
abattre		5		
abuser action		5		
adaptation		5		
adverbe		5		
afficher		5		
allée	(nom.)	5		
améliorer		5		
améliorer	(améliorer	5	3	
améliorer	(s'améliorer	5	2	
anorak		5		
antenne		5		
antiquaire		5		
apparaître		5		
apprenti		5		
architecte		5		
assommer		5		
astuce		5		
audition		5		
avant-guerre		5		
bachot		5		
bâfrer		5		
balancer		5		
balayer		5		
bataille		5		
bec		5		
berger		5		
berger	berger	5	3	
berger	bergère	5	2	
bloquer		5		
bombardement		5		
bondir		5		
boniment		5		
bouchon		5		
bouillotte		5		
bouquet		5		
bouquet	(bouquet de fleurs	5	1	
bouquet	(c'est le bouquet	5	1	
bouquet	(outil de bûcheron [savoie])	5	1	
branche		5		
branche	(arbre	5	2	
branche	(figuré	5	3	
bref	(adj.)	5		
bref	bref	5	1	
bref	brève	5	4	
briller		5		
brosser		5		
brouiller		5		
brouillon		5		
brouillon	(adj.)	5	2	
brouillon	(nom.)	5	3	
brusquement		5		
budget		5		
cabane		5		
caillou		5		
cale		5		
campagne	(guerre)	5		
canal		5		
canal	canal	5	4	
canal	canaux	5	1	
cane		5		
carcasse		5		
carton		5		
cerisier		5		
cesser		5		
chameau		5		
chansonnier		5		
charitable		5		
chaussette		5		
choix		5		
choquer		5		
christ		5		
cirque		5		
ciseaux		5		
collation		5		
colline		5		
comédien		5		
comédien	comédien	5	5	
comédien	comédienne	5	1	
comique		5		
compagnon		5		
comparable		5		
compétent		5		
compétent	compétent	5	2	
compétent	compétente	5	3	
compliquer		5		
confondre		5		
connerie		5		
constituer		5		
constituer	(constituer	5	4	
constituer	(se constituer	5	1	
contenu		5		
contrarier		5		
cote	(valeur boursière	5		
coudre		5		
coupable		5		
couramment		5		
couronne		5		
couronne	(diadème	5	1	
couronne	(monnaie	5	4	
couvercle		5		
craintif		5		
craintif		5		
craintif	craintif	5	3	
craintif	craintive	5	2	
crétin		5		
cuisinier		5		
cuisinier	cuisinier	5	2	
cuisinier	cuisinière	5	3	
cuite		5		
cure	(sens médical)	5		
danois		5		
danois	(nom.)	5		
danois	(adj.)	5	1	
datte		5		
débuter		5		
décorer		5		
décourager		5		
dégât		5		
démarcation		5		
demeurer		5		
démonter		5		
département		5		
déplacement		5		
dérouler		5		
dévot		5		
dialecte		5		
dialogue		5		
digérer		5		
divorcer		5		
doucement		5		
dorer		5		
douanier		5		
dragneux	(argot guérisseur	5		
drap	(de lit)	5		
écurie		5		
élastique	(nom.)	5		
élection		5		
emmerder		5		
empaler		5		
empaler	(empaler	5	4	
empaler	(s'empaler	5	1	
emprunt		5		
encaustique		5		
énergie		5		
enfiler		5		
engagement		5		
engueuler		5		
enterrement		5		
enthousiasme		5		
entr'acte		5		
entreprise		5		
épais		5		
épais	épais	5	3	
épais	épaisse	5	2	
épicier		5		
éprouver		5		
espace		5		
espionnage		5		
estomac		5		
établissement		5		
étaler		5		
étonnant		5		
excessif		5		
excessif	excessif	5	1	
excessif	excessive	5	3	
exposer		5		
faculté	(université).	5		
faiblesse		5		
familial		5		
familial	familial	5	4	
familial	familiale	5	1	
fanfare		5		
fédération		5		
filet		5		
fjord		5		
folie		5		
foncer		5		
fortification		5		
four		5		
freiner		5		
front		5		
galoper		5		
garantie		5		
gardien		5		
gelée		5		
gentiment		5		
grade		5		
grain		5		
grotesque		5		
gueule		5		
gueuler		5		
gueuleton		5		
habit		5		
hall		5		
hélas		5		
horaire		5		
horrible		5		
hospitalité		5		
identité		5		
imprimé	(nom.)	5		
incident		5		
indemnité		5		
indépendant		5		
indication		5		
information		5		
ingrat		5		
ingrat	ingrat	5	4	
ingrat	ingrate	5	1	
instruction		5		
instruire		5		
instruire	(instruire	5	4	
instruire	(s'instruire	5	1	
internat		5		
international		5		
international	international	5	4	
international	internationale	5	1	
jésuite		5		
kidnapper		5		
lamentable		5		
largement		5		
lentement		5		
librairie		5		
lieutenant		5		
limiter		5		
lingerie		5		
local	(nom.)	5		
local	local	5	2	
local	locale	5	3	
location		5		
longer		5		
lot		5		
lotissement		5		
loup		5		
loup	loup	5	4	
loup	louve	5	1	
louper	(argot)	5		
maraîcher		5		
marquise		5		
marrer	(pronom.)	5		
mémoire		5		
menteur		5		
menteur	menteur	5	4	
menteur	menteuse	5	1	
mérite		5		
metteur en scène		5		
militant		5		
militant	militant	5	2	
militant	militante	5	3	
minable		5		
moeurs		5		
montée		5		
musical	(ou musicale)	5		
navire		5		
nécessité		5		
noyer	(verbe.)	5		
noyer	(noyer	5	3	
noyer	(se noyer	5	2	
nudité	(s. fig.style)	5		
objet		5		
oculiste		5		
oie		5		
orateur		5		
originaire		5		
original	(ou originale)	5		
paquet		5		
parler	(nom.)	5		
parquet	(plancher)	5		
pas	(nom.)	5		
passager	(nom.)	5		
passeport		5		
pavé		5		
pêcheur		5		
peigner		5		
pelle		5		
pelote		5		
pensionnaire		5		
percer		5		
perpétuellement		5		
pilon		5		
pilon	(pilon de volaille	5	3	
piscine		5		
plante		5		
poétique		5		
pommier		5		
porcelaine		5		
postal		5		
poteau		5		
pourboire		5		
poussin		5		
préférence		5		
présent	(à)	5		
projeter		5		
promettre		5		
protège-cahier		5		
prudent		5		
prudent	prudent	5	4	
prudent	prudente	5	1	
puissance		5		
pull-over		5		
pyjama		5		
rafler		5		
râler	(argot,rouspéter)	5		
rarement		5		
rassurer		5		
ravitaillement		5		
récent		5		
récent	récent	5	4	
récent	récente	5	1	
récit		5		
recommander		5		
recouvrir		5		
reculer		5		
reculer	(reculer	5		
reculer	(se reculer	5	3	
réflexion		5	2	
règlement		5		
relieur		5		
remerciement		5		
rentrée		5		
réserve		5		
respect		5		
respecter		5		
retarder		5		
réveil		5		
révéler		5		
révéler	(révéler	5	3	
révéler	(se révéler	5	2	
royalement		5		
ruine		5		
rythme		5		
sacrifice		5		
sain		5		
sain	sain	5	3	
sain	saine	5	2	
saleté		5		
sauna		5		
séance		5		
seconde		5		
secrétariat		5		
sensationnel		5		
sensibilité		5		
sinistré		5		
sinusite		5		
situer		5		
sobriquet		5		
soie		5		
sot		5		
sot	sot	5	3	
sot	sotte	5	2	
souper		5		
souterrain		5		
spirituel		5		
sportif		5		
sportif	sportive	5	1	
sportif	sportif	5	4	
square		5		
stage		5		
suicider	(pronom.)	5		
subir		5		
superbe		5		
supplément		5		
supplier		5		
surface		5		
symphonique		5		
systématiquement		5		
tailler		5		
tandis		5		
tel que, telle que		5		
témoin		5		
tenailles		5		
tendance		5		
tendresse		5		
tombeau		5		
torchon		5		
toubib		5		
tricot		5		
tripoter		5		
tringle		5		
universitaire		5		
université		5		
urine		5		
vacherie		5		
varié		5		
veillée		5		
veillée		5		
ventouse		5		
ver		5		
véritablement		5		
vertu		5		
veston		5		
vêtement		5		
vigne		5		
vitrine		5		
voile		5		
vu		5		
abri		4		
accessible		4		
accommoder	(pronom.)	4		
accoucher		4		
adjoint		4		
adjoint	adjoint	4	3	
adjoint	adjointe	4	1	
admettre		4		
administratif		4		
administratif	administratif	4	1	
administratif	administrative	4	3	
aéré		4		
aéroplane		4		
aisé		4		
amélioration		4		
amygdale		4		
analogue		4		
aplatir		4		
apparence		4		
appartenir		4		
aptitude		4		
argot		4		
as		4		
aspiration		4		
associé attaque		4		
au-delà		4		
au-dessous		4		
au fur et à mesure		4		
auparavant		4		
auto-stop		4		
avant	(nom.)	4		
avant-hier		4		
avant-dernier		4		
avant-dernier	avant-dernier	4	3	
avant-dernier	avant-dernière	4	1	
avant	(expressions)	4		
avant	(avant tout	4	2	
avant	(en avant	4	2	
aviation		4		
avoine		4		
azur balcon		4		
bachelier		4		
bachelier	bachelier	4	1	
bachelier	bachelière	4	3	
baccalauréat		4		
baptême		4		
baraque		4		
basket		4		
basse-cour		4		
bassin		4		
beaux-parents		4		
belotte		4		
bénir		4		
benne		4		
berceau		4		
bétail		4		
biberon		4		
bidet	(ustensile)	4		
bigorneau		4		
blouson		4		
boiter		4		
bouchée	(à la reine)	4		
bouillant		4		
bouillant	bouillant	4	1	
bouillant	bouillante	4	3	
bouleverser		4		
bourg		4		
bricole		4		
bricole	(objet)	4	3	
bricole	(travail)	4		
brièvement		4		
brimade		4		
bronche		4		
brûleur		4		
brûlure		4		
brusque		4		
bûche		4		
buter		4		
cabaret		4		
cabinet		4		
cabinet de toilette		4		
cacheter		4		
canne		4		
canne	(canne	4	3	
canne	(canne (vannerie)	4	1	
carburateur		4		
casserole		4		
catégorie		4		
cathédrale		4		
céder ceinture		4		
célèbre		4		
chagrin		4		
chalet		4		
chapelle		4		
chariot		4		
châtaignier		4		
chauffant		4		
chauffant	chauffant	4	1	
chauffant	chauffante	4	2	
chausson		4		
chiffre		4		
chute		4		
citron	(fruit)	4		
clairon		4		
coloris		4		
commencement		4		
commissaire		4		
communion		4		
compléter		4		
compresseur	(nom. et adj.)	4		
compteur		4		
comte		4		
comte	comtesse	4	4	
comte	comte	4	1	
conclure		4		
concours	(aide)	4		
congrégation		4		
consciencieux		4		
consciencieux	consciencieux	4	3	
consciencieux	consciencieuse	4	1	
consentir		4		
constant		4		
constant	constant	4	3	
constant	constante	4	1	
continu		4		
contre-ut		4		
convenablement		4		
costaud		4		
couchage		4		
coucher	(nom.)	4		
goût		4		
crâne		4		
crasseux		4		
crème		4		
crème	(pommade 	4	2	
crème	(couleur	4	2	
culbute		4		
cultivateur		4		
découverte		4		
définitif		4		
définitif	définitif	4	0	
définitif	définitive	4	4	
déformer		4		
dégourdi		4		
dégoûtant		4		
dégoûtant	dégoûtant	4	3	
dégoûtant	dégoûtante	4	1	
délicat		4		
délicat	délicat	4	3	
délicat	délicate	4	1	
délicieux		4		
démiteur		4		
démocrate		4		
démontrer		4		
démoraliser		4		
dépanner		4		
déplaisant		4		
dépouiller		4		
dérouillée	(nom.)	4		
désert	(adj.)	4		
désir		4		
desservir		4		
déterminer		4		
diamant		4		
diffuser		4		
dinde		4		
direct		4		
direct	direct	4	2	
direct	directe	4	2	
direction	(administrative )	4		
dispute		4		
dissimuler		4		
distinguer		4		
distinguer	(distinguer	4	3	
distinguer	(se distinguer	4	1	
divers		4		
dixième		4		
doré		4		
douceur		4		
droit	(adv.)	4		
dune		4		
écartement		4		
échelonner		4		
échouer		4		
éclaireuse		4		
éclaireuse	(éclaireur	4	0	
économiser		4		
écorcher		4		
écossais		4		
écossais	écossais	4	2	
écossais	écossaise	4	2	
écrivain		4		
éditer		4		
effacer		4		
efficacité		4		
effrayer		4		
effroyable		4		
élevé	(haut)	4		
élite		4		
embêtement		4		
emboîter		4		
encaisseur		4		
encaustique		4		
enchaîner		4		
enfer		4		
enfler		4		
enfoncer		4		
enfoncer	(enfoncer	4	2	
enfoncer	(s'enfoncer	4	2	
engraisser		4		
enlèvement		4		
ennemi		4		
entreprendre		4		
enveloppe		4		
envers	(nom.)	4		
s'envoler		4		
éplucher		4		
épuiser		4		
espoir		4		
essentiellement		4		
étape		4		
éternuer		4		
européen		4		
européen	européen	4	2	
européen	européenne	4	2	
excessivement		4		
exercice		4		
exotique		4		
explication		4		
exproprier		4		
fabrication		4		
faitout		4		
fantaisie		4		
faveur		4		
favorable		4		
favori		4		
favori	favori	4	3	
favori	favorite	4	1	
féliciter		4		
féminin		4		
féminin	féminin	4		
féminin	féminine	4		
féroce		4		
février		4		
filleul		4		
football		4		
forcé		4		
fort	(nom.)	4		
foudre		4		
fourneau		4		
frac		4		
fraîcheur		4		
fréquent		4		
fréquent	fréquent	4		
fréquent	fréquente	4		
fumée		4		
garagiste		4		
gazer	(argot	4		
géologie		4		
géranium		4		
germain		4		
gibier		4		
glace	(miroir)	4		
grâce à		4		
gracieux		4		
grammaire		4		
grandeur		4		
graphique	(nom.)	4		
graisser		4		
habituel		4		
hameau		4		
handicap	(course)	4		
hausse		4		
honnêteté		4		
horloge		4		
hors d'oeuvre		4		
huitième		4		
humble		4		
humidité		4		
imiter		4		
immoler		4		
imperméable	(adj.)	4		
impressionner		4		
imprimerie		4		
innaccessible		4		
incarner		4		
insecte		4		
intermédiaire		4		
intermédiaire	(intermédiaire	4	3	
intermédiaire	(par intermédiaire	4	1	
interne	(nom.)	4		
intervention		4		
intimider		4		
introduire		4		
inventer		4		
invitation		4		
jardinier		4		
jardinier	jardinier	4	2	
jardinier	jardinière	4	2	
journaliste		4		
jument		4		
kilogramme		4		
kilowatt		4		
lier		4		
lier	(lier	4	3	
lier	(lier conversation, amitié)	4	1	
ligue		4		
lisse		4		
logique	(adj.)	4		
logis		4		
lointain		4		
louche	(adj. )	4		
loyer		4		
main d'oeuvre		4		
mamy	(mamie)	4		
manie		4		
manoeuvre	(fém	4		
manuel	(adj.)	4		
marne		4		
marre	(en avoir)	4		
martini		4		
masse		4		
masser		4		
match		4		
maternité		4		
mélodie		4		
membre	(corps)	4		
ménager		4		
métallique		4		
meubler		4		
ministère		4		
mise en plis		4		
mobiliser		4		
modestie		4		
morale		4		
morbide		4		
mosaïque		4		
municipal		4		
municipal	municipal	4	3	
municipal	municipaux	4	1	
nordique		4		
nuance		4		
obligatoirement		4		
obstacle		4		
office		4		
olive		4		
olivier		4		
orange		4		
orgue		4		
outillage		4		
ouest		4		
ovaire		4		
ovale		4		
paille		4		
palais de justice		4		
palissade		4		
parenthèse		4		
partage		4		
participer		4		
partisan		4		
patate		4	1	
pâtisserie		4		
patronage		4		
pédale		4		
pencher		4		
pencher	(pencher	4	1	
pencher	(se pencher	4	3	
pendule		4		
pensée		4		
performance		4		
peuh !		4		
philo		4		
photographier		4		
photographier	(photographier	4	3	
photographier	(se photographier	4	1	
piqûre		4		
plaisant		4		
plaisant	plaisant	4	2	
plaisant	plaisante	4	2	
plaisanter		4		
planche		4		
plâtre		4		
pli		4		
policier		4		
portefeuille		4		
pourrir		4		
précipiter		4		
préférable		4		
préfet		4		
pression		4		
prêtre		4		
profession		4		
profond		4		
profond	profond	4	2	
profond	profonde	4	2	
protéger		4		
provoquer		4		
puissant		4		
puissant	puissant	4	3	
puissant	puissante	4	1	
quelque part		4		
querelle		4		
raffiné		4		
rogner		4		
romain		4		
salaud		4		
salle de bains		4		
saoul		4		
saucisson		4		
saut		4		
scandale		4		
scénario		4		
sècheresse		4		
secouer		4		
seizième		4		
semblable		4		
sentimental		4		
serre		4		
si	(note)	4		
sincère		4		
slip		4		
solidarité		4		
solitaire		4		
solo		4		
sombrer		4		
souffler		4		
soulager		4		
source		4		
souris		4		
statistique		4		
strictement		4		
stupide		4		
subvention		4		
suer		4		
suppléance		4		
tacher		4		
tartine		4		
teindre		4		
télégramme		4		
témoignage		4		
tendu		4		
tension		4		
tétanos		4		
théière		4		
théorique		4		
thermomètre		4		
tiers		4		
tilleul		4		
tisane		4		
toilette		4		
tôlier		4		
tomate		4		
topo		4		
tordant		4		
tordant	tordant	4	3	
tordant	tordante	4	1	
touche		4		
tournante	(adj.)	4		
tournante	(tournant (adj.)	4	0	
traduction		4		
tragique		4		
trame		4		
travailliste		4		
trembler		4		
trentaine		4		
trésor		4		
troupeau		4		
raisin		4		
raisonnement		4		
ralentir		4		
rallonge		4		
rampe		4		
ranch		4		
raser		4		
raser	(se raser)	4	1	
rayonner		4		
récemment		4		
récipient		4		
récolte		4		
recueillir		4		
récupérer		4		
réduction		4		
redoubler		4		
rééducation		4		
refermer		4		
régional		4		
rendement		4		
répandre		4		
reparler		4		
repeindre		4		
repérer		4		
reprise		4		
réseau		4		
résumer		4		
revendre		4		
rhétorique		4		
rigoureux		4		
rigoureux	rigoureux	4	3	
rigoureux	rigoureuse	4	1	
tuberculose		4		
typographie		4		
user		4		
vague	(adj.)	4		
vaillant		4		
vaillant	vaillant	4	3	
vaillant	vaillante	4	1	
véhicule		4		
verbe		4		
vice		4		
vif		4		
vif	vif	4		
vif	vive	4		
virage		4		
viser		4		
voeu		4		
voler	(se déplacer dans l'espace)	4		
vomir		4		
voyelle		4		
vulgaire		4		
zone		4		
abbaye		3		
ablation		3		
abominable		3		
abordable		3		
aborder		3		
absence		3		
absent		3		
absent	absent	3	2	
absent	absente	3	1	
absolu	(adj.)	3		
absorber		3		
abstenir	(pronom.)	3		
académique		3		
accélérer		3		
accès		3		
accuser		3		
acrobate		3		
actualité		3		
adhérence		3		
admirablement		3		
adopter		3		
aérium		3		
aérodynamique		3		
agiter		3		
agiter	(agiter	3	2	
agiter	(s'agiter	3	1	
agriculture		3		
aide-conducteur		3		
aisance		3		
ajusteur		3		
aléatoire		3		
alerte	(nom.)	3		
alerte	(adj.)	3		
algérien		3		
algérien	algérien	3	2	
algérien	algérienne	3	1	
ambassadeur		3		
amender		3		
ameublement		3		
amour-propre		3		
à moins que		3		
amoureux 		3		
amoureux 	amoureux	3	1	
amoureux 	amoureuse	3	2	
amusement		3		
anneau		3		
annonce		3		
antiquité		3		
anus		3		
aperçu		3		
apprêter		3		
appui		3		
apte		3		
archi-		3		
archi-	(archi-complet 	3	1	
archi-	(archi-mal	3	1	
archi-	(archi-neuve	3	1	
architecture		3		
armement		3		
artichaut		3		
assainisseur		3		
assistance	(aide)	3		
associer		3		
associer	(associer	3	1	
associer	(s'associer	3	1	
atterrir		3		
autel		3		
autoriser		3		
autoroute		3		
avancement		3		
avantageusement		3		
aventure		3		
aviron		3		
avocat		3		
baby-foot		3		
ballade		3		
baie	(golfe)	3		
ballast		3		
bander		3		
banjo		3		
banquet		3		
bas-fond		3		
bassine		3		
béquille		3		
biche		3		
bicher		3		
bielle		3		
billot		3		
blanchissage		3		
bloc	(immeuble)	3		
blond		3		
blond	blond	3	1	
blond	blonde	3	2	
bombarder		3		
bombe	(projectile)	3		
bond		3		
bondé		3		
bonté		3		
borne		3		
botte		3		
boucherie	(commerce)	3		
bouleau		3		
boursier		3		
bousculer		3		
braquer		3		
brasserie		3		
bravo		3		
breveter		3		
briser		3		
broderie		3		
brouette		3		
brutal		3		
buse	(appareil)	3		
cachet	(médicament	3		
cadavre		3		
cadence		3		
calé		3		
calvaire		3		
camaraderie		3		
camoufler		3		
cantonal		3		
caoutchouc		3		
capital	(adj.)	3		
capital	capital	3	2	
capital	capitaux	3	1	
capitale	(nom.)	3		
carburo		3		
caresser		3		
carrière	(professionnelle	3		
carrière	(extraction	3		
carre	(partie de	3		
carrefour		3		
carrosserie		3		
caser		3		
caser	(caser	3	2	
caser	(se caser	3	1	
casino		3		
casque		3		
casquette		3		
cendrier		3		
censé		3		
cerner		3		
chahut		3		
chamailler	(pronom.)	3		
champagne	(vin)	3		
chanvre		3		
charrier		3		
châssis		3		
châtiment		3		
chausser		3		
chef-lieu		3		
chèque		3		
chevelure		3		
chinos		3		
chinos	(nom	3	2	
chinos	(adj.)	3	1	
chleu	(allemand)	3		
choper		3		
ciborium		3		
cinématographique		3		
circulaire	(adj.)	3		
ciré	(adj.)	3		
clé	(anglaise)	3		
clocher		3		
code		3		
cohue		3		
coincer		3		
coincer	(coincer	3	2	
coincer	(se coincer	3	1	
colis		3		
colonel		3		
comble		3		
comité		3		
commandeur		3		
commenter		3		
commode	(meuble)	3		
comprimé	(nom.)	3		
compris	(inclus)	3		
concentrer		3		
concentrer	(concentrer	3	1	
concentrer	(se concentrer	3	2	
concret		3		
concret	concret	3	1	
concret	concrète	3	2	
concurrent		3		
condamner		3		
conditionnement		3		
confection		3		
confier		3		
confiture		3		
confiture	(sens propre	3	1	
confiture	(sens figuré	3	2	
confrère		3		
confus		3		
conscrit		3		
conséquence		3		
conservateur		3		
conservatoire		3		
considérable		3		
consigne		3		
consommer		3		
continuel		3		
continuellement		3		
contradictoire		3		
contribuer		3		
contrôleur		3		
convaincre		3		
converti	(nom.)	3		
conviction		3		
coopérative		3		
copieux		3		
corriger		3		
cortège		3		
couche	(peinture)	3		
couplet		3		
coupole		3		
coupure		3		
courageux		3		
coûteux		3		
crainte		3		
crevant		3		
cri		3		
cristal		3		
cristal	cristal	3	0	
cristal	cristaux	3	1	
croix		3		
cuisse		3		
cuivre		3		
cumuler		3		
cuvette		3		
cycliste		3		
damnation		3		
danseur		3		
débit	(dépense)	3		
débiter		3		
déblayer		3		
déborder		3		
décalcifier		3		
décapiter		3		
déchausser		3		
décidément		3		
décoller		3		
décommander		3		
décontenancer		3		
défaire		3		
défense	(protection	3		
déficit		3		
défoncer		3		
dégringolade		3		
délégation		3		
demeure		3		
dénouement		3		
denrée		3		
dentaire		3		
départemental		3		
départemental	départemental	3	2	
départemental	départementaux	3	1	
déplacé		3		
déporté		3		
dérider		3		
dés	(jeu de)	3		
descendance		3		
descente		3		
désespérer		3		
desquels	(ou desquelles)	3		
dessert		3		
dessiner		3		
détailler		3		
dévisser		3		
dévouer		3		
dévouer	(dévouer	3	1	
dévouer	(se dévouer	3	2	
dignement		3		
diplôme		3		
discret		3		
discret	discret	3	2	
discret	discrète	3	1	
discrètement		3		
dissoudre		3		
divan		3		
doctrine		3		
documenter		3		
dollar		3		
domaine		3		
douane		3		
drague	(argot fait.de guérir en charlatan)	3		
dramatique		3		
drap	(matière)	3		
ébène		3		
échecs	(jeu)	3		
éclore		3		
écoeurer		3		
écolier		3		
économique		3		
écouler		3		
écouler	(écouler	3	1	
écouler	(s'écouler	3	2	
écran		3		
écriture		3		
éduquer		3		
égard.		3		
élan	(animal)	3		
élégant		3		
élégant	élégant	3	1	
élégant	élégante	3	2	
élevage		3		
éloigner		3		
éloigner	(éloigner	3	2	
éloigner	(s'éloigner	3	1	
email		3		
embarrasser		3		
embaucher		3		
empire		3		
emploi		3		
empreinte	(nom.)	3		
encaisser		3		
encaisser	(encaisser	3	2	
encaisser	(s'encaisser (se supporter mutuellement)	3	1	
enfantin		3		
enfantin	enfantin	3	1	
enfantin	enfantine	3	2	
enrager		3		
ensuivre	(pronom.)	3		
enterrer		3		
épater		3		
épiphanie		3		
époux		3		
époux	époux	3	2	
époux	épouse	3	1	
éruption		3		
esquinter		3		
esquinter	(esquinter	3	2	
esquinter	(s'esquinter	3	1	
est	(point cardinal	3		
estampe		3		
étalage		3		
éteindre		3		
étiquette	(écriteau)	3		
événement		3		
éventrer		3		
éveiller		3		
évier		3		
exclusivement		3		
exercer		3		
exploiter		3		
exposé	(nom.)	3		
externe		3		
extraire		3		
faisable		3		
fanatique		3		
fascisme		3		
faufiler	(pronom.)	3		
fêler		3		
félicitation		3		
ferraille		3		
fesse		3		
fesser		3		
feuille	(d'arbre)	3		
fiancer	(pronom.)	3		
fifre		3		
fillette		3		
fini		3		
foncé		3		
foot		3		
forçat		3		
fracture		3		
fraternité		3		
fresque		3		
friction		3		
fuir		3		
fureur		3		
gâchis		3		
gala		3		
galerie		3		
galette		3		
gangster		3		
gant		3		
gendre		3		
général	(nom.)	3		
génie		3		
gentillesse		3		
gicleur		3		
gomme		3		
gouttière		3		
gramme		3		
grandir		3		
gratter		3		
gratuitement		3		
grève	(cessation de travail)	3		
grief		3		
griller		3		
grippe		3		
grouper		3		
grouper	(grouper	3	1	
grouper	(se grouper	3	2	
gymnastique		3		
habillement		3		
hacher		3		
halte	(nom.)	3		
hangar		3		
hareng		3		
harpon		3		
haut-parleur		3		
honorer		3		
houspiller		3		
housse		3		
huitaine		3		
humeur		3		
humide		3		
humour		3		
hypophyse		3		
identique		3		
imbécillité		3		
imitateur		3		
impardonnable		3		
impressionnant		3		
impressionnant	impressionnant	3	2	
impressionnant	impressionnante	3	1	
improviser		3		
inactif		3		
inconnu		3		
index	(doigt)	3		
indigène		3		
indiscrétion		3		
inférieur		3		
infériorité		3		
influence		3		
injecter		3		
injurier		3		
inquiéter	(pronom.)	3		
inquiétude		3		
insuffisant		3		
insuffisant	insuffisant	3	2	
insuffisant	insuffisante	3	1	
insupportable		3		
intelligence		3		
interminable		3		
interpréter		3		
interrogatoire		3		
interrompre		3		
intime		3		
jadis		3		
jeunes gens		3		
joueur		3		
judiciaire		3		
juge		3		
juif		3		
kyste		3		
laboratoire		3		
labourer		3		
lanterne		3		
lasser		3		
lasser	(lasser	3	2	
lasser	(se lasser	3	1	
légion d'honneur		3		
lessiver		3		
lessiver	(sens propre	3	2	
lessiver	(argot (anéantir)	3	1	
licencié	(adj.)	3		
lied		3		
limousin	(nom et adj.)	3		
limousin	limousin	3	2	
limousin	limousine	3	1	
liquide	(nom et adj.).	3		
livre	(fém.)	3		
local	(adj.)	3		
loisir		3		
loterie		3		
luge		3		
lune		3		
lynx		3		
magistrat		3		
magnétique		3		
majorité		3		
maltraiter		3		
manège		3		
manivelle		3		
manoeuvrer		3		
mansarde		3		
maraîcher		3		
maraîcher	maraîcher	3	0	
maraîcher	maraîchère	3	3	
marais		3		
marâtre		3		
marge		3		
maroquin		3		
masculin		3		
mazout		3		
merveille		3		
mesurer		3		
métaphysique		3		
meublé		3		
mi-...		3		
mine	(de charbon)	3		
minime		3		
minuscule		3		
miracle		3		
mission		3		
mite		3		
mixte		3		
modique		3		
modulé		3		
moineau		3		
moisson		3		
montagnard		3		
montant		3		
montant	montant	3	2	
montant	montante	3	1	
moquerie		3		
motocycliste		3		
mouton		3		
mûr		3		
mutilé		3		
naphtaline		3		
happe		3		
natation		3		
navrer		3		
nier		3		
normalien		3		
normalien	normalien	3	2	
normalien	normalienne	3	1	
feuilles		3		
nuancer		3		
olfactif		3		
olfactif	olfactif	3	2	
olfactif	olfactive	3	1	
oral		3		
ordonner		3		
ordure		3		
oreillons		3		
orgueilleux		3		
orgueilleux	orgueilleux	3	2	
orgueilleux	orgueilleuse	3	1	
orienter		3		
orienter	(orienter	3	1	
orienter	(s'orienter	3	2	
pan		3		
pantoufle		3		
paradis		3		
par-ci		3		
parcours		3		
par-là		3		
parrain		3		
partenaire		3		
passeur		3		
passeur	passeur	3	2	
passeur	passeuse	3	1	
patient		3		
patient	patient	3	1	
patient	patiente	3	2	
péché		3		
peigne		3		
pèlerinage		3		
peloton		3		
pénal		3		
pensionnat		3		
percepteur		3		
perfectionner		3		
perlé		3		
perpétuel		3		
pétard		3		
petit-fils		3		
petit-fils	petit-fils	3	1	
petit-fils	petite-fille	3	2	
pharmacie		3		
philosophique		3		
phlegmon		3		
photographie		3		
pigeon		3		
pile		3		
pin		3		
pinard		3		
pin-up		3		
pique-niquer		3		
pisser		3		
pistolet	(à peinture).	3		
plaine		3		
plaquer		3		
plaquer	(plaquer	3	2	
plaquer	(se plaquer	3		
plastique		3		
plate-forme		3		
pleurésie		3		
pleutre		3		
pluriel		3		
pneu		3		
pneumatique		3		
pneumo	(-thorax)	3		
poing		3		
poison		3		
poivrot		3		
polytechnique		3		
portée	(nom.)	3		
portrait		3		
poulailler		3		
pourcentage		3		
pouvoir	(nom.)	3		
précaution		3		
préciser		3		
préface		3		
présentation		3		
presse	(journaux)	3		
prestige		3		
priorité		3		
priver		3		
priver	(priver	3	1	
priver	(se priver	3	2	
probable		3		
procurer		3		
procurer	(procurer	3	2	
procurer	(se procurer	3	1	
productif		3		
progresser		3		
prolo		3		
prolongation		3		
propane		3		
propreté		3		
prototype		3		
provisoirement		3		
psychologique		3		
p.t.t.		3		
publier		3		
purée		3		
purement		3		
questionner		3		
quête		3		
quitte		3		
quotidien		3		
